player,games,g,a1,a2,pts,gs_tot,team.x,gs_avg,num_last_first,player_team_num,position,position_type,season,session,team.y,jersey_number,first_name,last_name,year,full_name,team_name,player_id,logo,headshot_url,action_shot_url
SHEA.THEODORE,6,3,0,3,6,7.2,VGK,1.19375,"27 THEODORE, SHEA",VGK27,D,D,20202021,R,VGK,27,SHEA,THEODORE,20202021,SHEA THEODORE,Golden Knights,8477447,http://content.sportslogos.net/logos/1/6114/thumbs/611426842018.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8477447.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8477447.jpg
RYAN.NUGENT-HOPKINS,7,3,0,3,6,7.185,EDM,0.7332142857142858,"93 NUGENT-HOPKINS, RYAN",EDM93,C,F,20202021,R,EDM,93,RYAN,NUGENT-HOPKINS,20202021,RYAN NUGENT-HOPKINS,Oilers,8476454,http://content.sportslogos.net/logos/1/12/thumbs/1227282018.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8476454.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8476454.jpg
DYLAN.LARKIN,6,3,2,1,6,7.165000000000001,DET,1.3495833333333334,"71 LARKIN, DYLAN",DET71,C,F,20202021,R,DET,71,DYLAN,LARKIN,20202021,DYLAN LARKIN,Red Wings,8477946,http://content.sportslogos.net/logos/1/11/thumbs/yo3wysbjtagzmwj37tb11u0fh.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8477946.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8477946.jpg
CONOR.GARLAND,6,2,4,0,6,7.115,ARI,1.0929166666666665,"83 GARLAND, CONOR",ARI83,R,F,20202021,R,ARI,83,CONOR,GARLAND,20202021,CONOR GARLAND,Coyotes,8478856,http://content.sportslogos.net/logos/1/5263/thumbs/526378072015.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8478856.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8478856.jpg
JORDAN.KYROU,6,2,4,0,6,7.114999999999999,STL,1.1204166666666666,"25 KYROU, JORDAN",STL25,C,F,20202021,R,STL,25,JORDAN,KYROU,20202021,JORDAN KYROU,Blues,8479385,http://content.sportslogos.net/logos/1/25/thumbs/187.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8479385.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8479385.jpg
KYLE.CONNOR,6,4,3,2,9,7,WPG,1.2458333333333331,"81 CONNOR, KYLE",WPG81,L,F,20202021,R,WPG,81,KYLE,CONNOR,20202021,KYLE CONNOR,Jets,8478398,http://content.sportslogos.net/logos/1/3050/thumbs/z9qyy9xqoxfjn0njxgzoy2rwk.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8478398.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8478398.jpg
BO.HORVAT,7,5,0,3,8,6.9799999999999995,VAN,0.7785714285714286,"53 HORVAT, BO",VAN53,C,F,20202021,R,VAN,53,BO,HORVAT,20202021,BO HORVAT,Canucks,8477500,http://content.sportslogos.net/logos/1/29/thumbs/2920842020.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8477500.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8477500.jpg
MATTHEW.TKACHUK,4,3,1,0,4,6.65,CGY,1.64375,"19 TKACHUK, MATTHEW",CGY19,L,F,20202021,R,CGY,19,MATTHEW,TKACHUK,20202021,MATTHEW TKACHUK,Flames,8479314,http://content.sportslogos.net/logos/1/5/thumbs/50.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8479314.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8479314.jpg
JOE.PAVELSKI,2,3,3,1,7,6.639999999999999,DAL,3.3199999999999994,"16 PAVELSKI, JOE",DAL16,C,F,20202021,R,DAL,16,JOE,PAVELSKI,20202021,JOE PAVELSKI,Stars,8470794,http://content.sportslogos.net/logos/1/10/thumbs/1079172014.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8470794.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8470794.jpg
JUSTIN.HOLL,7,0,3,1,4,6.6,TOR,0.9214285714285715,"3 HOLL, JUSTIN",TOR3,D,D,20202021,R,TOR,3,JUSTIN,HOLL,20202021,JUSTIN HOLL,Maple Leafs,8475718,http://content.sportslogos.net/logos/1/28/thumbs/2887612017.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8475718.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8475718.jpg
JOEL.ERIKSSON EK,6,3,2,0,5,6.595,MIN,1.1408333333333334,"14 ERIKSSON EK, JOEL",MIN14,C,F,20202021,R,MIN,14,JOEL,ERIKSSON EK,20202021,JOEL ERIKSSON EK,Wild,8478493,http://content.sportslogos.net/logos/1/15/thumbs/1588102014.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8478493.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8478493.jpg
JAKUB.VRANA,6,3,2,1,6,6.5249999999999995,WSH,1.0812499999999998,"13 VRANA, JAKUB",WSH13,L,F,20202021,R,WSH,13,JAKUB,VRANA,20202021,JAKUB VRANA,Capitals,8477944,http://content.sportslogos.net/logos/1/30/thumbs/llrs2zxi127vkqgcsvfb.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8477944.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8477944.jpg
