year,conf,team_name,abb_name,logos,win_percent,differential
2019,AFC,Titans,TEN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ten.png,0.5625,71
2019,AFC,Steelers,PIT,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/pit.png,0.5,-14
2019,AFC,Broncos,DEN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,0.4375,-34
2019,AFC,Raiders,OAK,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/oak.png,0.4375,-106
2019,AFC,Colts,IND,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ind.png,0.4375,-12
2019,AFC,Jets,NYJ,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyj.png,0.4375,-83
2019,AFC,Jaguars,JAX,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png,0.375,-97
2019,AFC,Browns,CLE,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,0.375,-58
2019,AFC,Chargers,LAC,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lac.png,0.3125,-8
2019,AFC,Dolphins,MIA,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/mia.png,0.3125,-188
2019,AFC,Bengals,CIN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cin.png,0.125,-141
2019,NFC,49ers,SF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sf.png,0.8125,169
2019,NFC,Packers,GB,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/gb.png,0.8125,63
2019,NFC,Saints,NO,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/no.png,0.8125,117
2019,NFC,Seahawks,SEA,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sea.png,0.6875,7
2019,NFC,Vikings,MIN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/min.png,0.625,104
2019,NFC,Eagles,PHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/phi.png,0.5625,31
2019,NFC,Rams,LAR,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lar.png,0.5625,30
2019,NFC,Bears,CHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/chi.png,0.5,-18
